Classic / Conservative / Timeless/ Traditional / Crisp -Style,classic conservative timeless traditional crisp
Feminine / Soft / Romantic/ Charming / Delicate -Style,feminine soft romantic charming delicate
Trendy / Creative / Unique/ Fashion-Forward -Style,trendy creative unique fashion-forward fashionista matching fab
Sporty / Casual / Easy/ Practical -Style,sporty casual easy practical cozy snuggly at-home comfort jogger workout comfy
Dramatic / Eccentric / Bold / Distinctive / Theatrical -Style,dramatic eccentric bold distinctive theatrical
Vibrant Style,vibrant
Preppy Style,preppy
Elegant Style,elegant
Chic Style,chic
Bohemian Style,bohemian
Girly Style,girly
Artsy Style,artsy
Business Style,business
Tomboy Style,tomboy
Street Style,street
50's Style,fifties
70's Style,seventies
Sophisticated Style,sophisticated
Western Style,western
Vintage Style,vintage